CodigoSAP,Contenido,producto,Minimo,Maximo
42003381,Viaje y Recreacion,Celebraciones empresariales,21,30
40001109,Viaje y Recreacion,Alimentacion,N/A,N/A
42001023,Viaje y Recreacion,Jornada Lúdico Reflexiva,23,30
42003043,Educacion,Sin asignar,N/A,N/A
42003415,Escuela Empresarial,Gestion del talento humano,15,25
40000046,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40001646,Viaje y Recreacion,Todo Parque,4,N/A
40002505,Viaje y Recreacion,Escenarios,1,1
42002574,Viaje y Recreacion,Celebraciones empresariales,66,100
42002676,Educacion,Arte Manual,15,25
42002683,Salud y Bienestar,Plan Capf,1,1
42003030,Escuela Empresarial,Destrezas para el trabajo,15,25
42003042,Viaje y Recreacion,Sin asignar,N/A,N/A
40004181,Salud y Bienestar,Cita medica ocupacional,1,N/A
41000100,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
41000310,Viaje y Recreacion,Todo Parque,1,N/A
42001045,Escuela Empresarial,Conferencia desarrollo humano,15,50
42001225,Viaje y Recreacion,Actividades complementarias parques,23,30
42002564,Viaje y Recreacion,Escenarios,1,1
42002480,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002607,Educacion,Lectura,15,20
42002974,Escuela Empresarial,Destrezas para el trabajo,15,25
40002366,Viaje y Recreacion,Transporte,N/A,N/A
40003380,Salud y Bienestar,Cita medica ocupacional,12,24
40003713,Cultura,Cultura- Conversatorio,N/A,N/A
42001321,Servicios Financieros,Educacion Financiera,1,1
42002670,Educacion,Arte Manual,15,25
40005013,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002918,Cultura,Cultura - Cine Y Teatro,1,N/A
42002877,Viaje y Recreacion,Alimentacion,N/A,N/A
40000098,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40004069,Viaje y Recreacion,Jornada Lúdico Reflexiva,23,30
42000509,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
42002451,Viaje y Recreacion,Todo parque,1,1
40004983,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
40002072,Escuela Empresarial,Conferencia desarrollo humano,15,50
